# type;class;cmd;comment;msg type: 1=BROAD, 2=MM, 3=MS;ZZ;PBSB;NN;D1D2D3;elements;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment
cyc;broad;date_time_temp;Datum, Uhrzeit und Aussentempertur;BR;FE;0700;9;;4;temp;md;1,2;d2b;1.0;°C;-;Temperatur;day;md;8;bdy;-;-;-;Wochentag;date;md;6,7,9;bda;-;-;-;Datum;time;md;5,4,3;bti;-;-;-;Uhrzeit
cyc;broad;load_VF_temp;Speicherladung und Vorlauftempertur;BR;FE;B505;4;27;3;load;md;2;bcd;1.0;-;00,01;Speicherladung;temp;md;3;d1c;1.0;°C;-;Temperatur;stat;md;4;bcd;1.0;-;-;Status;;;;;;;;
cyc;broad;date_time;Datum, Uhrzeit;BR;FE;B516;8;00;3;day;md;7;hdy;-;-;-;Wochentag;date;md;5,6,8;bda;-;-;-;Datum;time;md;4,3,2;bti;-;-;-;Uhrzeit;;;;;;;;
cyc;broad;temp;Aussentemperatur;BR;FE;B516;3;01;1;-;md;2,3;d2b;1.0;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cyc;mv;VF1_temp;Vorlauftemperatur VF1;MS;08;B509;3;290100;2;temp;sd;3,4;d2c;1.0;°C;-;Temperatur;stat;sd;5;bcd;1.0;-;-;Status;;;;;;;;;;;;;;;;
cyc;mv;RF1_temp;Rücklauftemperatur RF1;MS;08;B509;3;290700;2;temp;sd;3,4;d2c;1.0;°C;-;Temperatur;stat;sd;5;bcd;1.0;-;-;Status;;;;;;;;;;;;;;;;
cyc;mv;VF2_temp;Vorlauftemperatur VF2;MS;08;B509;3;290300;2;temp;sd;3,4;d2c;1.0;°C;-;Temperatur;stat;sd;5;bcd;1.0;-;-;Status;;;;;;;;;;;;;;;;
cyc;mv;brine_in;Quellentemperatur;MS;08;B509;3;290F00;2;temp;sd;3,4;d2c;1.0;°C;-;Temperatur;stat;sd;5;bcd;1.0;-;-;Status;;;;;;;;;;;;;;;;
cyc;amu;high_eff_pump_stat;Hocheffizenzpumpenstatus;MS;08;B509;3;29B801;1;-;sd;3;bcd;1.0;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
cyc;cir2;heat_pump_stat;Status Heizkreispumpe;MS;08;B509;3;29B901;1;-;sd;3;bcd;1.0;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cyc;cir2;date_time_temp;Datum, Uhrzeit und Aussentempertur;MS;50;B504;1;00;4;day;sd;7;hdy;-;-;-;Wochentag;date;sd;5,6,8;bda;-;-;-;Datum;time;sd;4,3,2;bti;-;-;-;Uhrzeit;temp;sd;9,10;d2b;1.0;°C;-;Temperatur
